33.1874 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
36.1702 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018879306500>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000188793063E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018879306F20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001887976ECB0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
36.1703 	EXP 	window1: mouseVisible = True
36.1703 	EXP 	window1: backgroundImage = ''
36.1704 	EXP 	window1: backgroundFit = 'none'
36.1730 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
36.1730 	EXP 	window1: recordFrameIntervals = False
36.3352 	EXP 	window1: recordFrameIntervals = True
36.5186 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
36.5186 	EXP 	window1: recordFrameIntervals = False
36.5188 	EXP 	window1: mouseVisible = False
42.8609 	EXP 	pitch_toj: status = STARTED
42.8615 	EXP 	window1: mouseVisible = True
43.2807 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
43.2811 	EXP 	window1: mouseVisible = True
43.2813 	EXP 	window1: mouseVisible = True
43.2820 	EXP 	window1: mouseVisible = True
43.2828 	EXP 	window1: mouseVisible = True
43.3719 	EXP 	window1: mouseVisible = True
43.3722 	EXP 	window1: mouseVisible = True
43.3730 	EXP 	window1: mouseVisible = True
43.3738 	EXP 	window1: mouseVisible = True
43.3949 	EXP 	window1: mouseVisible = True
43.4433 	EXP 	Created practiceText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='practiceText', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
43.4435 	EXP 	window1: mouseVisible = True
43.4513 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text='Starting new trial in', units='height', win=Window(...), wrapWidth=1)
43.4514 	EXP 	window1: mouseVisible = True
43.4532 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
43.4533 	EXP 	window1: mouseVisible = True
